NAME,Rarity Sum
Pet Bricks #3823,24.06
Pet Bricks #4515,24.06
Pet Bricks #2774,24.060000000000002
Pet Bricks #3247,24.060000000000002
Pet Bricks #93,24.08
Pet Bricks #512,24.08
Pet Bricks #3970,24.08
Pet Bricks #4774,24.08
Pet Bricks #3913,24.080000000000002
Pet Bricks #1575,24.099999999999998
Pet Bricks #2182,24.099999999999998
Pet Bricks #2550,24.099999999999998
Pet Bricks #3734,24.099999999999998
Pet Bricks #562,24.1
Pet Bricks #936,24.1
Pet Bricks #1756,24.1
Pet Bricks #3121,24.1
Pet Bricks #3593,24.1
Pet Bricks #1298,24.119999999999997
Pet Bricks #3935,24.119999999999997
Pet Bricks #4216,24.119999999999997
Pet Bricks #693,24.12
Pet Bricks #3007,24.12
Pet Bricks #304,24.14
Pet Bricks #561,24.14
Pet Bricks #1179,24.14
Pet Bricks #102,24.16
Pet Bricks #1264,24.18
Pet Bricks #2441,24.18
Pet Bricks #3072,24.18
Pet Bricks #3123,24.18
Pet Bricks #2578,24.180000000000003
Pet Bricks #887,24.2
Pet Bricks #1306,24.2
Pet Bricks #2658,24.2
Pet Bricks #3751,24.2
Pet Bricks #1140,24.200000000000003
Pet Bricks #2423,24.200000000000003
Pet Bricks #277,24.22
Pet Bricks #301,24.22
Pet Bricks #319,24.22
Pet Bricks #1954,24.22
Pet Bricks #3783,24.22
Pet Bricks #4280,24.22
Pet Bricks #2793,24.220000000000002
Pet Bricks #4478,24.220000000000002
Pet Bricks #3000,24.24
Pet Bricks #3394,24.240000000000002
Pet Bricks #1502,24.259999999999998
Pet Bricks #1605,24.259999999999998
Pet Bricks #2369,24.259999999999998
Pet Bricks #2323,24.26
Pet Bricks #4363,24.26
Pet Bricks #4522,24.26
Pet Bricks #539,24.28
Pet Bricks #611,24.28
Pet Bricks #4565,24.28
Pet Bricks #4606,24.28
Pet Bricks #1592,24.299999999999997
Pet Bricks #547,24.3
Pet Bricks #2136,24.3
Pet Bricks #2296,24.3
Pet Bricks #759,24.32
Pet Bricks #1129,24.32
Pet Bricks #2903,24.32
Pet Bricks #4393,24.32
Pet Bricks #1449,24.34
Pet Bricks #1321,24.340000000000003
Pet Bricks #438,24.359999999999996
Pet Bricks #3866,24.36
Pet Bricks #4972,24.36
Pet Bricks #2341,24.360000000000003
Pet Bricks #2464,24.38
Pet Bricks #3087,24.38
Pet Bricks #3331,24.38
Pet Bricks #4703,24.380000000000003
Pet Bricks #25,24.4
Pet Bricks #989,24.4
